Question/Issue,"Answer ","Dept ",Files & media,Catagory,Last added,Created time 1
يقدر احد يستلم شهاة التخرج عني في حالة السفر ؟,اي / بس لازم ارسال ايميل لقسم التسجيل باسم الشخص المفوض و رقمة المدني .,Registration,,"Registration ","January 26, 2026 8:22 AM (UTC)","January 25, 2026 4:21 PM"
" ؟Ktech ID بغير صورة  ",مراجعة قسم القبول و التسجيل مكتب رقم 106 .,Registration,,"Registration ","January 26, 2026 10:55 AM (UTC)","January 25, 2026 4:21 PM"
أحتاج بمن يهمة الأمر  يتقاضى / لا يتقاضى ؟,"مراجعة قسم التسجيل لتعبئة النموذج المطلوب ",Registration,,"Registration ","January 26, 2026 11:14 AM (UTC)","January 26, 2026 2:06 PM"
اذا بوقف الإعانة شلون ؟,يجب مراجعة قسم القبول و التسجيل لتعبئة النموذج المطلوب .,Registration,,"Registration ","January 26, 2026 11:14 AM (UTC)","January 26, 2026 2:09 PM"
اذا بسحب قيدي من الكلية ؟,مراجعة قسم القبول و التسجيل .,Registration,,"Registration ","January 26, 2026 11:14 AM (UTC)","January 26, 2026 2:09 PM"
متى ينزل بدل كتب ؟,لايوجد تاريخ محدد / مجلس الجامعات الخصة هو المسؤول عن صرف بدل كتب . يمكنكم التواصل مع مجلس الجامعات الخاصه عن طريق الرابط https://www.puc.edu.kw/finance-contact.html,Registration,,"Registration ","April 15, 2026 12:17 PM (UTC)","January 26, 2026 1:53 PM"
"انا طالب بدرس على حسابي , بنزلي بدل كتب ؟",بدل كتب فقط لطلبة البعثات الداخلية  .,Registration,,"Registration ","January 26, 2026 11:12 AM (UTC)","January 26, 2026 1:55 PM"
كنت ادرس بجامعة الكويت / التطبيقي / جامعة عبدالله السالم هل احتاج لمن يهمة الامر لصرف المكافاة الاجتماعية ( الإعانة ) ؟,"لا ما يحتاج ",Registration,,"Registration ","January 26, 2026 11:12 AM (UTC)","January 26, 2026 1:56 PM"
"كنت ادرس بجامعة خاصة و كنت استلم الإعانة , احتاج لمن يهمة الأمر ؟","نعم تحتاج ",Registration,,"Registration ","January 26, 2026 11:12 AM (UTC)","January 26, 2026 2:02 PM"
"أنا خريج قديم و ضاعة اوراق التخرج , شلون ؟",يرجى مراجعة قسم القبول و التسجيل مكتب رقم 106.,Registration,,"Registration ","January 26, 2026 11:12 AM (UTC)","January 26, 2026 2:04 PM"
اقدر اقسط رسوم الفصل الصيفي؟,الصيفي يكون دفعه وحده بكامل المبلغ قبل تسجيل المواد,Finance,,finance,"April 16, 2026 8:04 AM (UTC)","April 16, 2026 10:49 AM"
